Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Sum
 01/04  23:00:00,865.4518338,94.71476999,484.6761519,0,46.09303362,124.5586935,481.777671,436.0611135,28.3233498,17.39320775,2579.049825
 01/04  24:00:00,856.9149717,94.71476999,476.0985336,0,46.09303362,124.5586935,475.526545,443.9731507,14.1616749,17.39171932,2549.433092
 01/05  01:00:00,846.0866974,94.71476999,477.9318114,0,46.09303362,113.3127805,462.7057468,448.3351181,5.664669961,8.705958761,2503.550587
 01/05  02:00:00,833.8303269,94.71476999,465.6524946,0,46.09303362,113.3127805,477.5338597,454.4769925,5.664669961,17.39219733,2508.671125
 01/05  03:00:00,827.1381643,94.71476999,457.9206084,0,46.09303362,113.3127805,474.4524636,460.081626,5.664669961,8.706167608,2488.084284
 01/05  04:00:00,823.8781988,94.71476999,454.5163628,0,46.09303362,113.3127805,487.5980916,464.5408316,5.664669961,17.39259001,2507.711329
 01/05  05:00:00,910.1583947,94.71476999,448.2962584,0,100.1506573,148.9693994,462.5829884,448.2119505,5.664669961,8.706367995,2627.455457
 01/05  06:00:00,907.0979466,95.1038234,443.2955243,0,100.1506573,149.8943994,699.2449481,667.6902785,14.1616749,17.39299465,3094.032247
 01/05  07:00:00,1151.937611,96.78247073,461.6053056,0,176.4710373,302.6124365,521.7021934,484.6722681,28.3233498,8.706575494,3232.813248
 01/05  08:00:00,1264.280455,98.49257645,464.3765846,0,243.2593065,310.1097119,509.8688912,441.0779876,42.48502471,26.30587885,3400.256417
 01/05  09:00:00,1311.511823,99.08358654,469.8217287,0,243.2593065,310.1097119,506.5438888,423.4660447,56.64669961,26.4311445,3446.873934
 01/05  10:00:00,1353.783809,99.55268031,478.1390948,0,243.2593065,302.6124365,484.5244784,415.5162031,42.48502471,26.52325063,3446.396284
 01/05  11:00:00,1368.713334,100.197994,483.5635705,0,243.2593065,310.1097119,493.4217469,387.0550169,70.80837451,35.55835545,3492.68741
 01/05  12:00:00,1379.015037,100.6203141,490.4629617,0,243.2593065,310.1097119,488.5653315,373.2383535,70.80837451,44.51860347,3500.597995
 01/05  13:00:00,1341.868515,100.771535,494.5347897,0,243.2593065,310.1097119,470.8767786,373.4877414,70.80837451,26.58066276,3432.297415
 01/05  14:00:00,1373.846802,101.0397519,493.0684193,0,243.2593065,302.6124365,469.9956888,368.8318446,56.64669961,44.51714461,3453.818094
 01/05  15:00:00,1373.570343,101.3434265,492.469305,0,243.2593065,302.6124365,447.6729146,369.6462387,42.48502471,35.54165116,3408.600646
 01/05  16:00:00,1373.76898,101.7416752,493.4535443,0,243.2593065,302.6124365,466.0344404,373.9089572,56.64669961,35.47878358,3446.904823
 01/05  17:00:00,1381.524481,102.0681252,491.4146004,0,243.2593065,310.1097119,488.5758776,377.1169471,84.97004941,26.48888109,3505.52798
 01/05  18:00:00,1392.078391,102.3744491,490.2754555,0,243.2593065,310.1097119,481.0169119,378.5545339,84.97004941,17.49232861,3500.131138
 01/05  19:00:00,1118.909418,94.71476999,490.4056591,0,166.9389264,199.1109338,481.2843535,378.875498,84.97004941,17.43880606,3032.648414
 01/05  20:00:00,1111.871251,94.71476999,490.6308546,0,166.9389264,191.6136585,459.6478927,385.5633154,56.64669961,17.43787778,2975.065246
