Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Sum
 01/05  03:00:00,506.2155761,94.81857558,43.19759035,0,46.09303362,113.3127805,817.6236573,794.4425252,5.664669961,17.51646216,2438.884871
 01/05  04:00:00,507.8627961,94.81857558,46.38419701,0,46.09303362,113.3127805,847.7925547,815.861903,5.664669961,26.26598178,2504.056492
 01/05  05:00:00,598.6279053,94.81857558,48.67105224,0,100.1506573,148.9693994,834.1357055,810.9495698,5.664669961,17.5214657,2659.509001
 01/05  06:00:00,601.867469,95.29449918,49.33731847,0,100.1506573,149.8943994,1193.339728,1161.657198,14.1616749,17.52085521,3383.2238
 01/05  07:00:00,829.5446166,96.12412222,49.69275208,0,176.4710373,302.6124365,887.4801666,832.8877855,28.3233498,26.26903131,3229.405298
 01/05  08:00:00,953.1800668,97.23940737,47.35045241,0,243.2593065,310.1097119,870.5909187,792.60087,42.48502471,35.50502403,3392.320782
 01/05  09:00:00,993.7188799,97.78267406,42.56812449,0,243.2593065,310.1097119,907.593862,806.2154079,56.64669961,44.73175448,3502.626421
 01/05  10:00:00,1025.015362,98.17361015,40.48314779,0,243.2593065,302.6124365,898.9490602,811.4770516,42.48502471,44.98698381,3507.441983
 01/05  11:00:00,1016.769184,98.5108791,40.11606705,0,243.2593065,310.1097119,924.2142618,798.9441802,70.80837451,54.46170706,3557.193673
 01/05  12:00:00,1015.459545,98.81614656,40.1384938,0,243.2593065,310.1097119,921.0436844,786.5013002,70.80837451,63.73400967,3549.870572
 01/05  13:00:00,978.5932884,99.09062168,43.66919971,0,243.2593065,310.1097119,883.6458634,758.6618084,70.80837451,54.1756805,3442.013855
 01/05  14:00:00,1014.297771,99.33995768,45.89397651,0,243.2593065,302.6124365,864.4169672,744.046754,56.64669961,63.72351364,3434.237383
 01/05  15:00:00,1014.727406,99.57001488,46.10789348,0,243.2593065,302.6124365,836.2283371,739.2757943,42.48502471,54.46751805,3378.733732
 01/05  16:00:00,1021.169957,99.77792301,46.28919025,0,243.2593065,302.6124365,846.1305533,735.1889638,56.64669961,54.29488993,3405.36992
 01/05  17:00:00,1041.759506,99.98082372,52.33779396,0,243.2593065,310.1097119,825.2890041,695.4247775,84.97004941,44.89417719,3398.02515
 01/05  18:00:00,1038.365509,100.1589136,46.85207228,0,243.2593065,310.1097119,843.7105396,723.3907115,84.97004941,35.34977873,3426.166593
 01/05  19:00:00,761.6613831,94.81857558,37.82929547,0,166.9389264,199.1109338,987.8899481,876.5395386,84.97004941,26.38036011,3236.139011
 01/05  20:00:00,771.8676569,94.81857558,58.18530676,0,166.9389264,191.6136585,842.9077745,759.8832875,56.64669961,26.37778738,2969.239673
 01/05  21:00:00,650.8072202,94.81857558,70.53222782,0,100.1506573,124.5586935,830.9499174,756.7113822,56.64669961,17.59183563,2702.767209
 01/05  22:00:00,594.5485693,94.81857558,52.79936779,0,100.1506573,124.5586935,897.3336629,828.5670442,42.48502471,26.28159391,2761.543189
 01/05  23:00:00,540.0275081,94.81857558,64.0771225,0,46.09303362,124.5586935,848.5263791,802.6837026,28.3233498,17.51932676,2566.627692
 01/05  24:00:00,567.9650915,94.81857558,91.7323964,0,46.09303362,124.5586935,786.4413855,746.0113264,14.1616749,26.26838417,2498.050562
 01/06  01:00:00,570.3735787,94.81857558,106.7975123,0,46.09303362,113.3127805,752.0066345,728.8219883,5.664669961,17.5199762,2435.40875
 01/06  02:00:00,576.6058327,94.81857558,111.9323268,0,46.09303362,113.3127805,760.0029723,736.8214663,5.664669961,17.51683612,2462.768494
